rescuedDynamic
"[0,0,1,57,27,11,7,2,1,0,3,6,5,1,13,3,0,0,0,0,0,0,0,0,0,0]"
"[0,0,0,31,32,25,55,26,8,3,6,4,3,1,1,0,0,0,0,0,0,0,0,0,0,0]"
"[0,0,12,25,31,47,42,19,11,2,1,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0]"
"[0,0,28,9,34,28,54,30,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
"[0,0,5,2,11,15,6,1,1,35,28,18,6,9,5,3,0,0,0,0,0,0,0,0,0,0]"
"[0,0,1,13,19,19,19,35,38,17,8,2,4,2,0,0,0,2,0,0,0,0,0,0,0,0]"
"[0,0,5,5,29,2,5,12,28,11,4,6,4,5,0,0,0,0,0,0,0,0,0,0,0,0]"
"[0,0,0,22,35,27,46,38,30,13,6,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0]"
"[0,0,0,14,23,15,9,46,26,19,12,3,0,0,3,1,0,0,0,0,0,0,0,0,0,0]"
"[0,1,1,3,14,22,47,50,19,23,9,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0]"
"[0,4,4,23,24,15,2,2,6,0,3,14,17,11,0,4,2,1,1,1,0,0,0,0,0,0]"
"[0,0,5,6,28,26,11,34,29,21,13,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0]"
"[0,0,13,20,12,23,26,33,21,5,3,1,2,0,3,1,0,0,0,0,0,0,0,0,0,0]"
"[0,1,1,0,13,30,19,26,16,12,14,15,7,0,2,1,0,0,0,0,0,0,0,0,0,0]"
"[0,0,11,11,9,54,57,27,17,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
"[0,0,9,13,13,18,20,8,22,21,18,12,5,1,0,0,0,0,2,4,1,0,0,0,0,0]"
"[0,2,6,16,18,30,15,23,23,18,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
"[0,0,3,3,2,27,40,38,39,24,7,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0]"
"[0,0,0,21,26,25,10,3,0,0,0,0,4,3,2,0,0,0,0,0,0,0,0,0,0,0]"
"[0,4,15,8,32,41,29,33,18,13,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
"[0,0,8,19,16,27,10,18,16,6,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0]"
"[0,4,8,0,3,15,55,43,27,12,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0]"
"[0,3,1,3,17,32,49,37,23,2,11,13,7,2,2,0,0,0,0,0,0,0,0,0,0,0]"
